Variavel,Importancia_SHAP
V14,0.07026641553446886
V12,0.06775371892132655
V11,0.054054306192664936
V10,0.05174804479304883
V4,0.050359006571156315
V3,0.03814605943226545
V17,0.029624646197128
V9,0.02039085228372805
V7,0.015776509099730922
V2,0.014758983100563167
V16,0.012559795340324574
V1,0.009638911578874816
V21,0.007427199338796734
V18,0.006252208008261241
V20,0.005909068888849022
V13,0.005547335359839132
V8,0.00511231397558626
V19,0.004973887283532045
log_amount,0.004879379602866752
V24,0.004873375579633323
V27,0.004695042586888834
V15,0.004538041328280924
V5,0.004151138403191242
Amount,0.003853527722323168
V25,0.003779525320781775
V28,0.0036366347444564294
V6,0.003129219647724872
V22,0.00305525849422873
V26,0.0028593786735015246
Time,0.0025829242639599345
V23,0.0017458202581689516
