Variavel,Importancia
V14,0.19081004924804051
V10,0.15287696971109807
V11,0.11028063898385658
V12,0.08579185267847983
V4,0.07307077444736687
V17,0.07146282406513188
V3,0.04561629867758582
V2,0.029480583972378405
V7,0.029128172672759592
V16,0.023570448652264358
V9,0.020782226628598698
V21,0.019677076142318492
V18,0.015302107778777538
V20,0.014398873562096218
V8,0.013229891942518382
V19,0.012765809640323433
log_amount,0.011171055504073947
Amount,0.010407218360112517
V27,0.009663795063610658
V13,0.009417551035650364
V25,0.007228502224644832
V28,0.006808553512296451
V1,0.0057312528863077755
V6,0.005540204836017928
V24,0.004874853825527688
V15,0.004864278779317798
V5,0.004801350692936047
V22,0.004576357514408769
V26,0.0029091377940422946
Time,0.0020632377235847627
V23,0.0016980514438734856
